単語,出現回数
する,314
言語,215
れる,141
語,130
地理,120
いる,111
学,111
的,73
こと,63
ある,50
なる,48
よう,43
文字,41
られる,35
研究,33
もの,32
ため,28
使用,26
自然,26
方言,26
年,25
存在,25
公用,24
地域,23
記号,22
これ,22
話者,22
共通,22
用いる,21
体,21
おる,20
の,20
英語,19
国家,19
できる,18
扱う,18
場合,17
人文,17
呼ぶ,16
表現,16
上,16
世界,16
圏,16
例,15
化,14
科学,14
地誌,14
使う,13
一,13
性,13
民族,13
分類,13
数,13
国,13
分野,13
行う,12
世紀,12
日本,12
系統,12
関係,12
学問,12
字,11
教育,11
それ,11
いく,11
中,11
独立,11
消滅,11
合,10
以降,10
可能,10
多い,10
母語,10
国際,10
フランス語,10
標準,10
理解,10
広い,9
影響,9
社会,9
間,9
文法,9
持つ,9
成立,9
学会,9
ラテン語,8
表す,8
一般,8
相互,8
共同,8
人,8
者,8
異なる,8
地球,8
生物,8
能力,8
現象,8
言う,8
中心,8
定義,8
領域,8
意味,7
アルファベット,7
変化,7
次,7
式,7
日常,7
ドイツ,7
ほか,7
等,7
集団,7
文化,7
わけ,7
区別,7
構造,7
ない,7
発生,7
一つ,7
一覧,7
複数,7
これら,7
基準,7
層,7
環境,7
大学,7
筆記,6
多く,6
別,6
中世,6
大きい,6
人間,6
内,6
活動,6
学習,6
重要,6
アラビア,6
他,6
年代,6
各国,6
明確,6
中国,6
二,6
同士,6
与える,6
スペイン,6
脳,6
注釈,6
概念,6
分布,6
起源,5
字形,5
単語,5
唱える,5
最後,5
歴史,5
ローマ,5
左,5
発展,5
見る,5
せる,5
それぞれ,5
主,5
多数,5
記述,5
形成,5
非常,5
問題,5
いう,5
日本語,5
考える,5
近代,5
整備,5
派,5
交流,5
よる,5
人類,5
必要,5
現在,5
接触,5
語彙,5
制定,5
セルビア,5
地方,5
三,5
地,5
受ける,5
機能,5
回,5
失語,5
調査,5
易,5
説,5
語源,4
学校,4
復唱,4
加える,4
形,4
言葉,4
図,4
変遷,4
ラテン,4
時代,4
同様,4
古代,4
以下,4
系,4
外部,4
リンク,4
声,4
含む,4
作る,4
方法,4
分ける,4
代表,4
主張,4
文語,4
孤立,4
視覚,4
手話,4
危機,4
発達,4
国内,4
経済,4
学者,4
生じる,4
獲得,4
語族,4
連合,4
族,4
くる,4
話す,4
連続,4
法,4
いずれ,4
うえ,4
後半,4
辞典,4
困難,4
ユーゴスラビア,4
モンテネグロ,4
政治,4
情報,4
強い,4
位,4
求める,4
運動,4
ヒト,4
書,4
障害,4
後,4
論,4
事象,4
対象,4
語義,4
唐,4
地形,4
代,4
解明,4
科目,4
要件,4
加盟,4
現代,3
一部,3
読む,3
結果,3
さかのぼる,3
さ,3
さまざま,3
ルネサンス,3
ヨーロッパ,3
印刷,3
両方,3
アメリカ合衆国,3
その他,3
似る,3
アイルランド,3
点,3
参照,3
十,3
表記,3
位置,3
脚注,3
体系,3
特徴,3
化学,3
作用,3
主義,3
哲学,3
フランス,3
部分,3
音声,3
同一,3
人工,3
死語,3
完全,3
文章,3
入る,3
再生,3
古典,3
少ない,3
進む,3
起きる,3
盛ん,3
北,3
アメリカ,3
インド,3
生まれる,3
観点,3
変異,3
つながる,3
分化,3
前,3
なす,3
進化,3
基本,3
群,3
史,3
分割,3
様々,3
相手,3
国民,3
生得,3
考え,3
とき,3
属す,3
クロアチア,3
中国語,3
判定,3
範囲,3
差,3
反発,3
住む,3
少数,3
珍しい,3
パキスタン,3
統計,3
資料,3
広大,3
国々,3
カ国,3
のぼる,3
住民,3
傾向,3
アフリカ,3
国連,3
設立,3
減少,3
政府,3
野,3
頭,3
認識,3
関連,3
項目,3
表面,3
空間,3
経,3
分析,3
地表,3
気候,3
重視,3
計量,3
要求,3
現地,3
フィールドワーク,3
考察,3
高等,3
設置,3
必修,3
告示,3
指導,3
要領,3
条,3
物,2
フォント,2
わかる,2
自体,2
番目,2
のち,2
うち,2
書く,2
続く,2
小文字,2
続ける,2
元,2
にくい,2
イタリック,2
期,2
技術,2
発明,2
子供,2
達,2
著書,2
発表,2
数字,2
両者,2
今日,2
ゲール,2
初期,2
加わる,2
手書き,2
縦,2
線,2
単純,2
プラス,2
発音,2
