会社,証券コード,時価総額,PER,前日比 (%),年初来 (%),5年前比 (%),,,
BlackRock Inc.,BLK,1.48863E+11,23.81,0.928,-1.965642712,87.84299065420561,,54,1.48863E+11
LOWES COMPANIES INC,LOW,1.47408E+11,19.08,0.881,5.777957860615885,118.88152930326152,,55,1.47408E+11
AMGEN INC,AMGN,1.46268E+11,34.58,0.995,4.400705954573354,13.143451143451145,,56,1.46268E+11
STRYKER CORP,SYK,1.46166E+11,40.71,0.427,6.490765171503952,83.05165664088611,,57,1.46166E+11
BOSTON SCIENTIFIC CORP,BSX,1.45408E+11,81.37,0.499,10.456784594715643,128.37962962962962,,58,1.45408E+11
PROGRESSIVE CORP,PGR,1.42751E+11,17.6,-0.758,1.6985935478485885,223.0116648992577,,59,1.42751E+11
UNION PACIFIC CORP,UNP,1.42022E+11,21.4,-0.268,2.7275916505876268,27.384448069603025,,60,1.42022E+11
"Uber Technologies, Inc",UBER,1.41798E+11,30.34,-1.808,11.637931034482762,94.17531718569782,,61,1.41798E+11
KKR & Co. Inc.,KKR,1.39958E+11,27.38,2.826,6.530998580217712,416.4536217633562,,62,1.39958E+11
COMCAST CORP,CMCSA,1.39629E+11,9.51,0.744,-2.531308287,-21.9543418,,63,1.39629E+11
TJX COMPANIES INC,TJX,1.36979E+11,28.13,0.387,0.8608558894131164,93.99777105556439,,64,1.36979E+11
Eaton Corp plc,ETN,136849855999.99998,36.27,0.316,4.342061650646329,265.19721577726216,,65,1.3685E+11
SCHWAB CHARLES CORP,SCHW,135983980144.07999,26.42,1.192,3.2428050263477672,55.93877551020407,,66,1.35984E+11
Blackstone Inc.,BX,129924385685.04999,30.49,1.828,4.3672427792599535,199.16874480465503,,67,1.29924E+11
SHOPIFY INC.,SHOP,1.24776E+11,,-0.145,-2.802595693,129.0050963882118,,68,1.24776E+11
DEERE & CO,DE,1.23686E+11,17.42,3.719,7.491149398159067,159.55433977318057,,69,1.23686E+11
CONOCOPHILLIPS,COP,121824085796.29999,12.25,0.227,6.735908036704657,71.51999103980214,,70,1.21824E+11
FISERV INC,FI,1.18665E+11,38.02,1.125,1.5383117515334561,73.51301888362033,,71,1.18665E+11
MICRON TECHNOLOGY INC,MU,1.1725E+11,150.71,3.07,25.65351711026615,83.33911234396672,,72,1.1725E+11
LOCKHEED MARTIN CORP,LMT,1.16223E+11,17.41,0.711,0.9013458451660767,15.179704016913334,,73,1.16223E+11
"GILEAD SCIENCES, INC.",GILD,1.14457E+11,908.39,0.207,-0.573779366,45.316455696202524,,74,1.14457E+11
BRISTOL MYERS SQUIBB CO,BMY,114166064979.45999,,-0.16,-0.477369165,-15.7082959,,75,1.14166E+11
Medtronic plc,MDT,1.12944E+11,26.12,1.056,10.265398097145734,-25.89601212,,76,1.12944E+11
ANALOG DEVICES INC,ADI,1.08768E+11,66.51,1.925,3.1535347830179603,83.96709477,,77,1.08768E+11
VERTEX PHARMACEUTICALS INC,VRTX,1.08677E+11,,1.209,4.792649615098085,79.19320594479831,,78,1.08677E+11
Chubb Ltd,CB,108626848231.56001,10.53,-1.481,-2.468331524,76.52299227040484,,79,1.08627E+11
"Marvell Technology, Inc.",MRVL,1.07955E+11,,6.106,12.956088727931188,341.6283185840708,,80,1.07955E+11
STARBUCKS CORP,SBUX,1.07858E+11,28.67,0.741,4.252054794520532,2.7543745949449203,,81,1.07858E+11
BOEING CO,BA,1.05768E+11,,1.279,-3.338983051,-48.46686747,,82,1.05768E+11
"MARSH & MCLENNAN COMPANIES, INC.",MMC,105704087117.12999,25.9,-0.49,1.3276211101172208,90.77291260414819,,83,1.05704E+11
"Rise Oil & Gas, Inc.",RISE,103370537143.6074,,-0.33832,,,,84,1.03371E+11
LAM RESEARCH CORP,LRCX,1.03321E+11,25.47,1.363,11.172642946144265,162.4611864683772,,85,1.03321E+11
"Prologis, Inc.",PLD,1.01398E+11,30.9,-1.307,3.576158940397363,17.279057311194435,,86,1.01398E+11
KLA CORP,KLAC,1.01319E+11,34.16,1.366,20.210436107408114,318.69990603062297,,87,1.01319E+11
TORONTO DOMINION BANK,TD,1.00658E+11,,3.959,8.020285499624322,1.4285714285714164,,88,1.00658E+11
Constellation Energy Corp,CEG,98946841260,34.6,0.355,41.41522506816861,,,89,98946841260
ENBRIDGE INC,ENB,96940830239,,1.09,4.9021918453923945,9.928377377130147,,90,96940830239
"Apollo Global Management, Inc.",APO,94485689987,11.39,0.645,1.1080164688786738,240.24042379788102,,91,94485689987
MERCADOLIBRE INC,MELI,93080380500,64.77,-0.064,7.9720542918303465,175.48540047414696,,92,93080380500
INTEL CORP,INTC,92686370000,,9.253,7.182044887780535,-63.97921555,,93,92686370000
"PayPal Holdings, Inc.",PYPL,92043089798.68001,20.79,3.25,7.568834212067969,-20.44194107,,94,92043089799
BROOKFIELD Corp,BN,91538775280,,1.042,1.2706701479547462,73.92140850871479,,95,91538775280
"Elevance Health, Inc.",ELV,89357541391,,0.008,4.442938465708863,26.303884609080484,,96,89357541391
SHERWIN WILLIAMS CO,SHW,89151027948.18001,,-0.054,4.133203894919532,81.53441174319536,,97,89151027948
AMERICAN TOWER CORP,AMT,88967228676,83.69,0.168,3.805681260563759,-18.02015157,,98,88967228676
EQUINIX INC,EQIX,88343619135,83.61,-0.467,-2.895353647,53.84964376932385,,99,88343619135
Trane Technologies plc,TT,87577037241,35.24,0.085,5.371598754568822,192.86628038227104,,100,87577037241
MOODYS CORP,MCO,86224020000,43.03,-0.658,0.5239030779305835,85.84260886545596,,101,86224020000
PARKER HANNIFIN CORP,PH,86173181076.18001,29.79,1.64,5.256041381695837,222.24308062575216,,102,86173181076
"Intercontinental Exchange, Inc.",ICE,85615457467.67001,34.48,-0.746,0.06710959,54.88729614625532,,103,85615457468
WASTE MANAGEMENT INC,WM,84973098685,32.17,0.332,4.916001784032915,77.17800652774292,,104,84973098685
NOVO NORDISK A S,NVO,84581677680,,-5.273,-8.521274122,156.695482,,105,84581677680
Duke Energy CORP,DUK,84401427570,19.22,0.183,1.4108037868943768,17.256922086284604,,106,84401427570
CME GROUP INC.,CME,83859157551,24.2,0.172,0.20669164190674394,21.610834189075547,,107,83859157551
AMPHENOL CORP,APH,83693648143,37.97,-0.63,-0.043196544,152.91920939976316,,108,83693648143
CINTAS CORP,CTAS,79978151910,48.81,0.131,8.544061302681996,176.8629367212314,,109,79978151910
Aon plc,AON,79190223015.26001,31.77,-0.527,1.9517763670787218,74.24220794670472,,110,79190223015
Cigna Group,CI,78992558578,23.59,1.075,2.8427609183747364,34.62431855890023,,111,78992558578
"PNC FINANCIAL SERVICES GROUP, INC.",PNC,78777381795,15.12,1.018,2.9504796473943458,30.087799764120035,,112,78777381795
"HCA Healthcare, Inc.",HCA,78636084695,11.51,0.326,3.4316175245710667,110.09000473709142,,113,78636084695
CHIPOTLE MEXICAN GRILL INC,CMG,78376349360,52.8,-1.439,-4.610281924,230.48354476925903,,114,78376349360
"Motorola Solutions, Inc.",MSI,77687681186,49.58,0.467,0.56898081,168.9228277218558,,115,77687681186
"Mondelez International, Inc.",MDLZ,77370059536,20.23,-0.241,-3.130755064,4.837832940750133,,116,77370059536
SOUTHERN COPPER CORP,SCCO,77077202363.48001,25.36,0.719,7.670361022714815,130.60631340013757,,117,77077202363
MARRIOTT INTERNATIONAL INC,MAR,77026501482,27.83,0.428,-0.630960063,86.00187894242384,,118,77026501482
EOG RESOURCES INC,EOG,76819477134,10.76,-1.065,11.421112742698654,74.14301599102865,,119,76819477134
3M CO,MMM,76799100345,17.43,1.329,9.249360910992337,-6.811230159,,120,76799100345
SPDR GOLD TRUST,GLD,76176912000,3.74,-0.531,2.9488291413703394,70.37112979290546,,121,76176912000
US BANCORP \DE\,USB,75443133737,13.67,0.687,1.1080911561781335,-12.37543033,,122,75443133737
TransDigm Group INC,TDG,75349924928.95999,43.94,1.362,5.739852282052894,138.1912364491584,,123,75349924929
MCKESSON CORP,MCK,75220893279.29001,27.79,-0.44,3.976066396448587,279.2205298860873,,124,75220893279
Zoetis Inc.,ZTS,74843763675,30.67,-2.055,1.8167311115202693,19.139615053145633,,125,74843763675
GENERAL DYNAMICS CORP,GD,73325881628.73001,20.15,-0.803,1.2068769213252892,46.20065789473685,,126,73325881629
CAPITAL ONE FINANCIAL CORP,COF,72857028866,16.71,1.343,7.0939883355764835,86.23662120953571,,127,72857028866
BANK OF MONTREAL,BMO,72851683944,,-0.131,2.0814013395157076,24.962159434914227,,128,72851683944
ENTERPRISE PRODUCTS PARTNERS L.P.,EPD,72765491609,12.25,-0.297,7.047193877551024,15.67884217780842,,129,72765491609
MICROSTRATEGY Inc,MSTR,72561078070,,8.038,36.90352876182584,2602.4263904034897,,130,72561078070
COLGATE PALMOLIVE CO,CL,72460701776,23.9,0.147,-2.44197558,25.356890459363953,,131,72460701776
THOMSON REUTERS CORP,TRI,72134330996,,0.696,-0.704576631,102.5050864699898,,132,72134330996
"WILLIAMS COMPANIES, INC.",WMB,72092357734,24.05,-0.068,9.275683665927573,146.00665557404326,,133,72092357734
EMERSON ELECTRIC CO,EMR,71007006000,35.63,1.006,0.48414427499395174,59.920380120714015,,134,71007006000
NORTHROP GRUMMAN CORP,NOC,70280519074,29.59,0.247,2.7893200366511053,25.691802595236865,,135,70280519074
O REILLY AUTOMOTIVE INC,ORLY,70246129935,29.42,1.002,2.6134255355034526,175.8723105176049,,136,70246129935
CANADIAN PACIFIC KANSAS CITY LTD,CP,69832864071.23999,,0.349,3.3853806826032837,43.27295009765996,,137,69832864071
Energy Transfer LP,ET,69471266130,10.39,0.198,3.573251659009699,49.41089837997055,,138,69471266130
BECTON DICKINSON & CO,BDX,68631808846,40.25,0.457,4.632608983118075,-12.05920184,,139,68631808846
"DoorDash, Inc.",DASH,67869434716.079994,,2.125,4.011922503725771,,,140,67869434716
"KINDER MORGAN, INC.",KMI,67337912795,25.47,0.832,10.62043795620437,41.83434721572297,,141,67337912795
ECOLAB INC.,ECL,67228278592,32.58,-0.723,1.3229771252987348,23.015544041450767,,142,67228278592
FEDEX CORP,FDX,67213384946.40001,16.61,-0.818,-2.214481214,72.43324558104553,,143,67213384946
"REPUBLIC SERVICES, INC.",RSG,66929998760,33.95,0.854,6.2381946515558155,128.53934987168518,,144,66929998760
CANADIAN NATURAL RESOURCES LTD,CNQ,66746673920,,1.039,0.8098477486232554,99.97798442883507,,145,66746673920
CRH PUBLIC LTD CO,CRH,66405158320,20.9,2.26,5.65283182,151.41460905349794,,146,66405158320
CVS HEALTH Corp,CVS,66217410279.899994,13.17,1.27,17.21987079527733,-30.8086785,,147,66217410280
ROYAL CARIBBEAN CRUISES LTD,RCL,65016721784,24.85,3.657,4.820321643764359,80.38791495710555,,148,65016721784
Arthur J. Gallagher & Co.,AJG,64683508000,54.82,-0.328,3.864717280253643,206.94429984383135,,149,64683508000
ONEOK INC,OKE,63652709451.35999,22.73,0.276,8.525896414342625,41.91195623860381,,150,63652709451
CSX CORP,CSX,63117158877.689995,17.36,-0.728,1.4254725751471824,27.95152463,,151,63117158878
PIONEER NATURAL RESOURCES CO,PXD,62989465884.020004,12.870753143445036,,19.89505514051939,75.68254381963902,,152,62989465884
CARRIER GLOBAL Corp,CARR,62500857967.259995,17.47,-0.115,2.0509815411661236,,,153,62500857967
SCHLUMBERGER LIMITED,SLB,61541684307,13.35,6.06,13.667188315075634,12.37751418256832,,154,61541684307
TARGET CORP,TGT,61221695834,14.79,0.27,-1.16141441,14.864167812929878,,155,61221695834
Bank of New York Mellon Corp,BK,60558353273,16.86,1.264,8.408173890407397,78.27482877,,156,60558353273
"Coinbase Global, Inc.",COIN,60546820687.560005,38.78,4.918,19.001208215867905,,,157,60546820688
Hilton Worldwide Holdings Inc.,HLT,60118537958,50.78,-0.016,-0.222527917,120.97670250896059,,158,60118537958
METLIFE INC,MET,60088244308,15.88,1.036,5.984367366878374,66.24521072796935,,159,60088244308
Akari Therapeutics Plc,AKTX,59420538628,,-4,-1.639344262,-96.79144385,,160,59420538628
"DIGITAL REALTY TRUST, INC.",DLR,59187480289,140.08,-0.927,0.6203124118874541,44.27912994258915,,161,59187480289
AFLAC INC,AFL,59158221126.329994,15.53,0.529,2.948569219,101.72381132790301,,162,59158221126
CANADIAN IMPERIAL BANK OF COMMERCE,CM,59043604354.53999,,-0.096,-0.901470821,50.40806529044647,,163,59043604355
"Airbnb, Inc.",ABNB,58490284841,31.82,2.24,2.823225021,,,164,58490284841
Vistra Corp.,VST,58131051778.340004,26.56,-1.805,23.928338289693187,636.4655172413794,,165,58131051778
PACCAR INC,PCAR,57846080123,12.29,0.776,6.066141126706398,129.59467207177985,,166,57846080123
FREEPORT-MCMORAN INC,FCX,57793232496,12.34,0.475,5.6197478991596626,219.10005849638816,,167,57793232496
SIMON PROPERTY GROUP INC,SPG,56816681831.31999,20.17,0.828,1.1207246965913669,17.23441497,,168,56816681831
"Cheniere Energy, Inc.",LNG,56710514082.159996,11.27,-0.355,17.633918183087445,284.07536848503264,,169,56710514082
General Motors Co,GM,56046399964.799995,5.17,-1.678,-4.317627182,43.375527426160346,,170,56046399965
ROPER TECHNOLOGIES INC,ROP,56007930150.32001,37.95,0.62,0.4751370587669612,39.02581847218528,,171,56007930150
"Trade Desk, Inc.",TTD,55946076717,181.54,2.963,5.862333021356264,342.7758007117437,,172,55946076717
NORFOLK SOUTHERN CORP,NSC,55505638675,22.97,-0.716,4.533446953557728,18.952727272727273,,173,55505638675
MANULIFE FINANCIAL CORP,MFC,55282854402,,-0.714,-0.325626832,46.59961685823754,,174,55282854402
COPART INC,CPRT,54824766073.799995,39.37,0.887,-0.853807283,134.1322909165724,,175,54824766074
NXP Semiconductors N.V.,NXPI,54734945709,19.98,2.183,3.6131825835939537,60.50081979430615,,176,54734945709
AUTOZONE INC,AZO,54573806608,20.5,1.078,0.8244846970643351,182.6673204,,177,54573806608
"TRAVELERS COMPANIES, INC.",TRV,54375582018,11.97,-1.176,-0.568724314,72.50270075621174,,178,54375582018
"W.W. GRAINGER, INC.",GWW,54232503743.99999,28.48,0.293,5.649637113988888,226.43489476461275,,179,54232503744
SEMPRA,SRE,53952949307.520004,16.02,1.417,-2.895576835,9.782188426343595,,180,53952949308
Johnson Controls International plc,JCI,53729721977,28.28,0.845,2.7999493221842187,97.70955165692007,,181,53729721977
AMERIPRISE FINANCIAL INC,AMP,53570473199.54001,19.79,1.054,3.7112859906466724,221.13405059610358,,182,53570473200
PAYCHEX INC,PAYX,52649481492,31.15,-0.375,4.328911710169734,66.29532795271115,,183,52649481492
"Diamondback Energy, Inc.",FANG,52610612974.920006,15.37,0.592,9.979857169016654,117.96098694302643,,184,52610612975
MPLX LP,MPLX,52112238761.549995,11.87,0.669,6.874216464688658,93.63238299644959,,185,52112238762
Public Storage,PSA,51844418302,27.17,-0.548,-1.125434144,40.02739546343872,,186,51844418302
AMERICAN ELECTRIC POWER CO INC,AEP,51791978829,19.56,0.444,5.442914453,-0.061658617,,187,51791978829
Vertiv Holdings Co,VRT,51000654593,87.72,2.481,19.60214769826601,1064.3530419880033,,188,51000654593
"UNITED RENTALS, INC.",URI,50594854209,19.73,1.793,9.448640054511387,389.05803996194095,,189,50594854209
SUNCOR ENERGY INC,SU,50352594882,,-0.102,9.389013453,14.827890556045901,,190,50352594882
CUMMINS INC,CMI,50255199662,22.54,0.003,5.088927137119896,109.0265890676709,,191,50255199662
"CHARTER COMMUNICATIONS, INC.",CHTR,49963320678,9.24,1.353,2.508971030136834,-30.93871614,,192,49963320678
"QUANTA SERVICES, INC.",PWR,49813008849,59.97,0.378,6.774244581553532,724.4808209137551,,193,49813008849
Phillips 66,PSX,49777591530,14.49,0.752,5.793030808391109,16.128721456787744,,194,49777591530
"ROSS STORES, INC.",ROST,49208939733,26.25,0.101,-1.401467575,26.34476917,,195,49208939733
TC ENERGY CORP,TRP,49176923095,,2.664,1.8697614442295247,-3.166456861,,196,49176923095
Marathon Petroleum Corp,MPC,49076092970.399994,7.97,0.659,9.462365591397841,165.4267338779767,,197,49076092970
OCCIDENTAL PETROLEUM CORP,OXY,48765687893,11.09,-0.631,5.181137421574576,11.356331690593507,,198,48765687893
"Block, Inc.",SQ,48675164320,43.11,0.671,2.317919755265322,25.086306098964315,,199,48675164320
Monster Beverage Corp,MNST,48061921548,29.94,-0.463,-5.97412481,47.302533532041735,,200,48061921548
MSCI Inc.,MSCI,47964799354,39.74,0.336,2.0016333061115574,120.71477514515485,,201,47964799354
REALTY INCOME CORP,O,47804027551,53.97,0.073,2.2654933533046346,-25.93112723,,202,47804027551
NEWMONT Corp,NEM,47439231460,,0.048,11.955937667920495,-4.906435418,,203,47439231460
HORTON D R INC,DHI,47420680514,9.87,0.716,5.600057216421121,166.61249548573494,,204,47420680514
Targa Resources Corp.,TRGP,47040637295.159996,31.42,1.301,20.851540616246496,422.8308289,,205,47040637295
Discover Financial Services,DFS,46995570857.200005,16.16,1.157,8.052877677076722,123.7924438,,206,46995570857
"Cencora, Inc.",COR,46783457887,30.79,0.482,7.730995193163608,164.65121364530944,,207,46783457887
HESS CORP,HES,46633695775,15.47,1.082,13.788436959627106,115.26098705731758,,208,46633695775
"DOMINION ENERGY, INC",D,46435732125,18.78,0.4,2.6364649090234025,-33.80433481,,209,46435732125
Baker Hughes Co,BKR,46052531151,20.3,0.453,13.456850316918562,97.95831561037855,,210,46052531151
"Waste Connections, Inc.",WCN,45997170687,48.97,0.062,3.8815712787038166,82.47338247338249,,211,45997170687
"CBRE GROUP, INC.",CBRE,45927314640,44.6,1.603,4.280600198,125.18092105263156,,212,45927314640
"NASDAQ, INC.",NDAQ,45308141923,47.25,0.561,1.9661104643642346,118.34549181373367,,213,45308141923
"AXON ENTERPRISE, INC.",AXON,45286948919,151.81,1.374,-0.072351595,689.5373570858814,,214,45286948919
VALERO ENERGY CORP,VLO,44654346409,11.55,1.205,15.05832449628845,53.348554033485556,,215,44654346409
PG&E Corp,PCG,44486056432,16.11,0.354,-15.7086224,34.679334916864605,,216,44486056432
PUBLIC SERVICE ENTERPRISE GROUP INC,PEG,43913588607,21.61,-0.384,4.320037874,49.33920704845812,,217,43913588607
lululemon athletica inc.,LULU,43598668666.799995,28.12,0.73,-2.277660103,53.33798366911492,,218,43598668667
TE Connectivity plc,TEL,43593906166,13.65,1.413,1.9234804504441456,46.45226130653265,,219,43593906166
FASTENAL CO,FAST,43585204540,37.74,1.752,5.798915310805185,106.86536327711278,,220,43585204540
Keurig Dr Pepper Inc.,KDP,42891064381.380005,18.83,1.087,-1.556662516,14.48225923244027,,221,42891064381
"Corteva, Inc.",CTVA,42832099760,60.58,1.12,9.410112359550567,113.2785763175907,,222,42832099760
CORNING INC,GLW,42673444499,190.51,1.219,4.882154882154893,66.07797400866377,,223,42673444499
"DELTA AIR LINES, INC.",DAL,42472409966.21999,9.13,-0.544,8.793388429752056,6.367162249515161,,224,42472409966
"Fidelity National Information Services, Inc.",FIS,42411556008,29.31,0.089,-2.463786059,-46.12964989,,225,42411556008
PRUDENTIAL FINANCIAL INC,PRU,42367560000,10.27,0.515,0.40496076942547177,24.761505398888772,,226,42367560000
"AGILENT TECHNOLOGIES, INC.",A,42340605598.560005,29.97,1.824,9.691826708351954,64.72166331321262,,227,42340605599
AGNICO EAGLE MINES LTD,AEM,42285371468,,1.01,8.720112517580887,40.89478044739025,,228,42285371468
KROGER CO,KR,42229653747,15.2,-0.444,-4.562551104,107.83475783475785,,229,42229653747
AMETEK INC,AME,41804237006.399994,31.39,-0.072,0.2607344946188732,80.38726419802376,,230,41804237006
GARMIN LTD,GRMN,41419785813.299995,27.29,0.531,4.576747794046355,119.05148776277036,,231,41419785813
"L3HARRIS TECHNOLOGIES, INC.",LHX,41378050290,34.08,-0.146,3.7473844397945584,1.7774667599720146,,232,41378050290
Edwards Lifesciences Corp,EW,41156244000,9.9,-0.115,-5.740915845,-12.25584746,,233,41156244000
"OLD DOMINION FREIGHT LINE, INC.",ODFL,40547452037.119995,32.55,1.638,7.664399092970513,176.48857184451884,,234,40547452037
Kenvue Inc.,KVUE,40454131942,38.02,-0.425,-1.170960187,,,235,40454131942
Roblox Corp,RBLX,39812530598,,0.414,13.256135499481502,,,236,39812530598
GARTNER INC,IT,39778148196,37.39,0.711,6.446219580159763,220.46979865771817,,237,39778148196
EXELON CORP,EXC,39610542680,16.3,0.203,4.729011689691816,18.27625233983403,,238,39610542680
CROWN CASTLE INC.,CCI,39574512820,26.35,0.452,0.3305420890260109,-37.29945604,,239,39574512820
"Verisk Analytics, Inc.",VRSK,39334222100.700005,42.67,0.029,1.132774207602651,73.48654708520178,,240,39334222101
Dell Technologies Inc.,DELL,39178448854,9.56,-0.427,-4.859423811,321.34733766243005,,241,39178448854
GE HealthCare Technologies Inc.,GEHC,38715416240,22.39,-0.306,8.390892811,,,242,38715416240
COGNIZANT TECHNOLOGY SOLUTIONS CORP,CTSH,38580085671,17.13,0.491,1.1833550065019551,24.595676541232976,,243,38580085671
XCEL ENERGY INC,XEL,38313409226,20.37,0.785,-1.184834123,2.5988005535906495,,244,38313409226
Otis Worldwide Corp,OTIS,37856873859.479996,21.95,1.685,2.332361516034979,,,245,37856873859
"Arista Networks, Inc.",ANET,37777038966,14.18,1.541,8.522573057088564,118.83694412770808,,246,37777038966
Ares Management Corp,ARES,37532940451.799995,55.73,1.82,8.072078178839746,419.46782514254687,,247,37532940452
